hervID,avg_tumor,avg_normal,logFC,pvalue,threshold
herv_567,0.0198224190317049,0.00182570353745318,3.44060861192652,2.68512271912963e-130,None
herv_5944,0.0424689452795829,0.00391659370973783,3.43873689735345,3.95746334821226e-103,None
herv_4109,0.0501586664881632,0.00462972676956929,3.43750003509707,2.85149825727127e-80,None
herv_4612,0.00357858155175358,0.00033123020411985,3.43348171740009,1.93136843652602e-41,None
herv_2444,0.046254826160963,0.00429086766292135,3.43026259026402,1.78963949199349e-41,None
herv_720,0.0133372313141222,0.00123926973782772,3.4278970655726,1.35754601451003e-50,None
herv_2777,0.0750278150099682,0.00697617986329588,3.42691640213073,3.17856788452607e-88,None
herv_4045,0.0287835329970895,0.00267831094994382,3.42584831332318,3.35385672691735e-80,None
herv_1035,0.0245027647172294,0.00229191497003745,3.41831911556561,8.20343655175373e-18,None
herv_4166,0.0181081491880833,0.00169725952621723,3.41536000983364,4.71168225312247e-82,None
herv_3155,0.0379571925275225,0.00356984201310861,3.41044115567193,1.23277982948877e-131,None
herv_2199,0.0304523242013184,0.00287915944949625,3.40283274910372,4.05437038377224e-150,None
herv_6228,0.969184486688704,0.0917773119775281,3.40056185432095,0,None
herv_3841,0.0549896026802144,0.00521413960674157,3.39865774649061,5.2252871587822e-248,None
herv_4896,0.178334499569451,0.0169351386479401,3.3964941221366,0,None
herv_2420,0.0180718536029559,0.00172856125093633,3.38610085787096,7.99003371830356e-85,None
herv_1116,0.0338601668729495,0.00324549684327341,3.38307782522586,7.49754481455876e-122,None
herv_2863,0.00186927847660034,0.000179498533707865,3.38043754714992,1.77463507112971e-29,None
herv_3788,0.0244814567397028,0.00236177275280899,3.37374734443503,8.92477223468135e-207,None
herv_2595,0.0398665451713351,0.00385374821161049,3.37084436708111,1.41441247103269e-147,None
herv_1467,0.00308951835543548,0.000298923310861423,3.36953463296064,7.85235428353706e-54,None
herv_3604,0.070541184883644,0.00683661577153558,3.36711155798007,2.01002803416373e-118,None
herv_3025,0.0289909890338448,0.00281019406198127,3.36686288571732,9.47674692511714e-40,None
herv_2966,0.0815856829911856,0.00791187649148127,3.36622419387369,2.02785583751405e-61,None
herv_5983,0.0321734207737464,0.00312355459737828,3.364608683314,2.93316922686756e-128,None
herv_1767,0.0735100135933514,0.00720486188174157,3.35089810931556,2.83353266689038e-227,None
herv_1445,0.0322924866477392,0.00316608427153558,3.35042697713497,3.88271155438668e-235,None
herv_1083,0.0351353905793241,0.00344764106554307,3.34924344808834,1.60291085942605e-118,None
herv_3743,0.121029352040103,0.0119175343220974,3.34419928691509,5.36290084318901e-174,None
herv_3586,0.10470677523905,0.010311838170412,3.34398136438833,5.95940423345967e-258,None
herv_5654,0.0270895176902725,0.00267709209737828,3.33899603103244,2.540570335474e-35,None
herv_3520,0.0283265536345732,0.00280019090074906,3.33855799591978,3.26836276544031e-237,None
herv_5302,0.178243521935135,0.0176251957621723,3.33813845780153,2.64152611102888e-161,None
herv_5636,0.0320100830705717,0.00317151818913858,3.33528089949821,5.94615990308994e-123,None
herv_1455,0.112807577722469,0.0111909727265918,3.33345663554875,1.72851305681055e-259,None
herv_1719,0.0280308438521464,0.0027814211928839,3.3331210416847,6.34112000866432e-226,None
herv_2971,0.0326513860980218,0.00324130824201873,3.33249610779446,5.29203062583171e-103,None
herv_3064,0.0654234826448464,0.00651098002059925,3.32886194287149,8.08881755843372e-125,None
herv_1975,0.0683110007241191,0.00682533797914232,3.3231455344345,1.60082335402993e-185,None
herv_2394,0.0273487237528433,0.00273667062734082,3.32097979587323,3.30834252611228e-86,None
herv_3043,0.00794289280869446,0.000797287900749064,3.31649185315364,5.988671768898e-82,None
herv_1543,0.381919007686602,0.0383802989569288,3.31482886876198,1.94164561748138e-116,None
herv_591,0.068499799303953,0.00690702639138577,3.30996311992422,2.20749952394852e-83,None
herv_3716,0.0177389396983032,0.00178875664981273,3.30989074326963,4.40501526461329e-65,None
herv_3727,0.0350002858343144,0.003531430417603,3.30904212865704,1.82805330802426e-35,None
herv_2314,0.011973253177708,0.00120815421161049,3.30893867071004,7.23376073312862e-62,None
herv_2295,0.100747546170205,0.0102109524487453,3.30255535246246,2.70405125976009e-33,None
herv_693,0.0123129052076077,0.00125180339700375,3.29809130172386,8.31078719703593e-49,None
herv_3430,0.0404100940663871,0.00411785857116105,3.29474952359565,1.33977685078911e-107,None
herv_1514,0.0501131245121711,0.00511947626277154,3.29112036041153,3.0347529722143e-77,None
herv_2413,0.0331057087284996,0.00338740797565543,3.2888263569516,5.5059407185529e-107,None
herv_593,0.0370815242247066,0.00381711819475655,3.28014478218323,5.95347280970408e-97,None
herv_4467,0.0381225149796857,0.00392538766666667,3.27973625337618,1.86561703809725e-76,None
herv_5940,0.0932289793745564,0.00960028490449438,3.27962934716752,5.05382038291907e-64,None
herv_2365,0.355268597903356,0.0366169445018727,3.27832685918122,3.60312655815605e-154,None
herv_4377,0.0270049337581084,0.0027844800411985,3.27774315269934,3.07815169376004e-33,None
herv_6070,0.178194895690157,0.0183753014213483,3.27761619145573,0,None
